0.01
energy delay product with REST,661289.2000000001,132909.6,14094.0,5010.0,42448.8,224246.39999999997,136273.59999999998,26896.0,35880.0,27223.2,251050.40000000002,422400.0,207750.0,156767.6,464218.80000000005
0.3
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,103,53,27,15,37,49,41,41,39,39,41,63,47,45,73
latency without REST,103,53,27,17,37,49,41,41,39,39,41,63,47,45,73
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,5454.4,1456.0,522.0,346.8,599.6,3297.6000000000004,2524.3999999999996,656.0,951.2,536.4,4778.799999999999,6018.4,2867.2,1810.0,5060.8
energy delay product without REST,561803.2,77168.0,14094.0,5895.6,22185.2,161582.40000000002,103500.39999999998,26896.0,37096.8,20919.6,195930.79999999996,379159.19999999995,134758.4,81450.0,369438.4
energy with REST,5454.4,1456.0,522.0,334.0,599.6,3297.6000000000004,2524.3999999999996,656.0,951.2,536.4,4778.799999999999,6018.4,2867.2,1810.0,5060.8
energy delay product with REST,561803.2,77168.0,14094.0,5010.0,22185.2,161582.40000000002,103500.39999999998,26896.0,37096.8,20919.6,195930.79999999996,379159.19999999995,134758.4,81450.0,369438.4
0.4
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,91,53,27,15,37,45,39,31,31,39,33,53,43,45,65
latency without REST,91,53,27,17,37,45,39,31,31,39,33,53,43,45,65
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,5994.0,1456.0,522.0,346.8,599.6,3456.0,2682.0,638.0,926.8,536.4,4894.8,6353.6,2946.0,1882.0,5400.0
energy delay product without REST,545454.0,77168.0,14094.0,5895.6,22185.2,155520.0,104598.0,19778.0,28730.8,20919.6,161528.4,336740.80000000005,126678.0,84690.0,351000.0
energy with REST,5994.0,1456.0,522.0,334.0,599.6,3456.0,2682.0,638.0,926.8,536.4,4894.8,6353.6,2946.0,1882.0,5400.0
energy delay product with REST,545454.0,77168.0,14094.0,5010.0,22185.2,155520.0,104598.0,19778.0,28730.8,20919.6,161528.4,336740.80000000005,126678.0,84690.0,351000.0
0.5
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,91,53,27,15,37,43,39,31,31,39,33,49,39,45,63
latency without REST,91,53,27,17,37,43,39,31,31,39,33,49,39,45,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,6139.6,1540.8,522.0,346.8,599.6,3498.8,2775.6000000000004,638.0,926.8,536.4,5277.6,6536.4,2989.6000000000004,1882.0,5561.6
energy delay product without REST,558703.6,81662.4,14094.0,5895.6,22185.2,150448.4,108248.40000000001,19778.0,28730.8,20919.6,174160.80000000002,320283.6,116594.40000000001,84690.0,350380.80000000005
energy with REST,6139.6,1540.8,522.0,334.0,599.6,3498.8,2775.6000000000004,638.0,926.8,536.4,5277.6,6536.4,2989.6000000000004,1882.0,5561.6
energy delay product with REST,558703.6,81662.4,14094.0,5010.0,22185.2,150448.4,108248.40000000001,19778.0,28730.8,20919.6,174160.80000000002,320283.6,116594.40000000001,84690.0,350380.80000000005
0.6
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,79,47,21,13,31,41,33,31,23,35,31,49,37,37,55
latency without REST,79,47,21,13,31,41,33,31,23,35,31,49,37,37,55
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,6534.000000000001,1642.0,516.0,368.0,657.6,3989.6000000000004,2835.6,687.6,1008.4,612.0,5594.799999999999,7242.0,3346.0,1946.0,5916.0
energy delay product without REST,516186.00000000006,77174.0,10836.0,4784.0,20385.600000000002,163573.6,93574.8,21315.600000000002,23193.2,21420.0,173438.8,354858.0,123802.0,72002.0,325380.0
energy with REST,6534.000000000001,1642.0,516.0,368.0,657.6,3989.6000000000004,2835.6,687.6,1008.4,612.0,5594.799999999999,7242.0,3346.0,1946.0,5916.0
energy delay product with REST,516186.00000000006,77174.0,10836.0,4784.0,20385.600000000002,163573.6,93574.8,21315.600000000002,23193.2,21420.0,173438.8,354858.0,123802.0,72002.0,325380.0
0.7
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,73,47,21,13,31,41,33,29,23,35,31,49,37,35,53
latency without REST,73,47,21,13,31,41,33,29,23,35,31,49,37,35,53
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,7046.4,1642.0,516.0,368.0,657.6,4252.0,3046.8,722.4,1054.4,612.0,6165.2,7947.6,3508.8,1946.0,6299.200000000001
energy delay product without REST,514387.19999999995,77174.0,10836.0,4784.0,20385.600000000002,174332.0,100544.40000000001,20949.6,24251.2,21420.0,191121.19999999998,389432.4,129825.6,68110.0,333857.60000000003
energy with REST,7046.4,1642.0,516.0,368.0,657.6,4252.0,3046.8,722.4,1054.4,612.0,6165.2,7947.6,3508.8,1946.0,6299.200000000001
energy delay product with REST,514387.19999999995,77174.0,10836.0,4784.0,20385.600000000002,174332.0,100544.40000000001,20949.6,24251.2,21420.0,191121.19999999998,389432.4,129825.6,68110.0,333857.60000000003
0.8
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,75,47,21,13,23,37,33,29,21,35,31,49,31,31,51
latency without REST,75,47,21,13,23,37,33,29,21,35,31,49,31,31,51
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,7310.0,1754.8,516.0,368.0,642.8,4448.0,3218.3999999999996,722.4,1025.6,710.0,6524.8,8535.6,3554.0,2026.0,6582.8
energy delay product without REST,548250.0,82475.59999999999,10836.0,4784.0,14784.4,164576.0,106207.19999999998,20949.6,21537.6,24850.0,202268.80000000002,418244.4,110174.0,62806.0,335722.8
energy with REST,7310.0,1754.8,516.0,368.0,642.8,4448.0,3218.3999999999996,722.4,1025.6,710.0,6524.8,8535.6,3554.0,2026.0,6582.8
energy delay product with REST,548250.0,82475.59999999999,10836.0,4784.0,14784.4,164576.0,106207.19999999998,20949.6,21537.6,24850.0,202268.80000000002,418244.4,110174.0,62806.0,335722.8
0.9
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,73,47,21,13,23,35,33,29,21,35,29,47,31,31,47
latency without REST,73,47,21,13,23,35,33,29,21,35,29,47,31,31,47
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,7864.0,1830.0000000000002,516.0,368.0,642.8,4524.0,3482.4,722.4,1067.6,710.0,6719.6,8999.6,3690.4,2026.0,6898.8
energy delay product without REST,574072.0,86010.00000000001,10836.0,4784.0,14784.4,158340.0,114919.2,20949.6,22419.6,24850.0,194868.40000000002,422981.2,114402.40000000001,62806.0,324243.60000000003
energy with REST,7864.0,1830.0000000000002,516.0,368.0,642.8,4524.0,3482.4,722.4,1067.6,710.0,6719.6,8999.6,3690.4,2026.0,6898.8
energy delay product with REST,574072.0,86010.00000000001,10836.0,4784.0,14784.4,158340.0,114919.2,20949.6,22419.6,24850.0,194868.40000000002,422981.2,114402.40000000001,62806.0,324243.60000000003
1.0
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,73,47,21,13,23,33,33,29,21,35,29,43,31,31,47
latency without REST,73,47,21,13,23,33,33,29,21,35,29,43,31,31,47
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,7864.0,1830.0000000000002,516.0,368.0,642.8,4429.2,3482.4,722.4,1067.6,710.0,6986.4,8877.6,3826.8,2026.0,6898.8
energy delay product without REST,574072.0,86010.00000000001,10836.0,4784.0,14784.4,146163.6,114919.2,20949.6,22419.6,24850.0,202605.59999999998,381736.8,118630.8,62806.0,324243.60000000003
energy with REST,7864.0,1830.0000000000002,516.0,368.0,642.8,4429.2,3482.4,722.4,1067.6,710.0,6986.4,8877.6,3826.8,2026.0,6898.8
energy delay product with REST,574072.0,86010.00000000001,10836.0,4784.0,14784.4,146163.6,114919.2,20949.6,22419.6,24850.0,202605.59999999998,381736.8,118630.8,62806.0,324243.60000000003
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency ,91,53,31,15,41,41,39,31,31,39,39,49,39,43,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy,6139.6,1540.8,554.0,334.0,618.8,3415.6000000000004,2775.6000000000004,638.0,926.8,536.4,5776.799999999999,6536.4,2989.6000000000004,1838.8,5561.6
energy delay product,558703.6,81662.4,17174.0,5010.0,25370.8,140039.6,108248.40000000001,19778.0,28730.8,20919.6,225295.19999999998,320283.6,116594.40000000001,79068.4,350380.80000000005
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency ,91,53,31,15,41,41,39,31,31,39,39,49,39,43,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy,6139.6,1540.8,554.0,334.0,618.8,3415.6000000000004,2775.6000000000004,638.0,926.8,536.4,5776.799999999999,6536.4,2989.6000000000004,1838.8,5561.6
energy delay product,558703.6,81662.4,17174.0,5010.0,25370.8,140039.6,108248.40000000001,19778.0,28730.8,20919.6,225295.19999999998,320283.6,116594.40000000001,79068.4,350380.80000000005
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency ,91,53,31,15,41,41,39,31,31,37,39,49,39,43,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy,6139.6,1540.8,554.0,334.0,618.8,3415.6000000000004,2775.6000000000004,638.0,926.8,525.2,5776.799999999999,6536.4,2989.6000000000004,1838.8,5561.6
energy delay product,558703.6,81662.4,17174.0,5010.0,25370.8,140039.6,108248.40000000001,19778.0,28730.8,19432.4,225295.19999999998,320283.6,116594.40000000001,79068.4,350380.80000000005
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency ,91,53,31,15,41,41,39,31,33,37,35,49,39,43,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy,6139.6,1540.8,554.0,334.0,618.8,3415.6000000000004,2775.6000000000004,638.0,952.4000000000001,525.2,5444.0,6536.4,2989.6000000000004,1838.8,5561.6
energy delay product,558703.6,81662.4,17174.0,5010.0,25370.8,140039.6,108248.40000000001,19778.0,31429.200000000004,19432.4,190540.0,320283.6,116594.40000000001,79068.4,350380.80000000005
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency ,91,53,31,15,37,41,39,31,33,37,35,49,39,43,63
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
